engagement_probability,threeXthree,twoXtwo
0.043163832,0,0
0.145257384,0,0
0.040438049,0,0
0.409847558,1,1
0.125503913,0,0
0.086182199,0,0
0.050461426,0,0
0.102154195,0,0
0.13259235,0,0
0.095055118,0,0
0.02748996,0,0
0.471095264,1,1
0.083660841,0,0
0.073591143,0,0
0.096005216,0,0
0.085594006,0,0
0.438145071,1,1
0.065661624,0,0
0.108071931,0,0
0.601798594,0,0
0.036185011,0,0
0.029458014,0,0
0.141090035,0,0
0.458981872,0,1
0.503383458,1,1
0.045816377,0,0
0.095663793,0,0
0.105075061,0,0
0.07162746,0,0
0.53582865,0,0
0.047439102,0,0
0.460314006,1,1
0.216832533,1,1
0.094398938,0,0
0.521370411,1,1
0.400657803,1,1
0.121304393,0,0
0.08429379,0,0
0.108322851,0,0
0.204465076,0,0
0.120597161,0,0
0.465605646,1,1
0.036940571,0,0
0.411199391,0,0
0.045302007,0,0
0.338072389,0,0
0.344639987,0,0
0.463579088,0,0
0.081653334,0,0
0.391816169,0,0
0.064636067,0,0
0.455428898,0,0
0.078779086,0,0
0.066248015,0,0
0.115287527,0,0
0.350978971,1,1
0.030181563,0,0
0.082726926,0,0
0.120491266,0,0
0.351341635,1,1
0.582766116,0,0
0.122070625,0,0
0.553179681,1,1
0.14676708,1,1
0.557909429,1,1
0.555769444,0,0
0.037814323,0,0
0.108663604,0,0
0.497292459,1,1
0.049499564,0,0
0.588344753,0,0
0.329863548,0,0
0.060720682,0,0
0.047667697,0,0
0.036688406,0,0
0.037112404,0,0
0.58811146,0,0
0.491227776,0,0
0.045206469,0,0
0.036336701,0,0
0.094842292,0,0
0.095909476,0,0
0.453552425,0,0
0.458037376,1,1
0.108139507,0,0
0.159660816,1,1
0.442317456,0,0
0.097536951,0,0
0.506755412,1,1
0.092338011,0,0
0.02603244,0,0
0.052874681,0,0
0.03977428,0,0
0.405382037,0,0
0.106284887,0,0
0.026670832,0,0
0.107968591,0,0
0.533147812,0,0
0.098118216,0,0
0.635982752,0,0
0.470583826,0,0
0.040533394,0,0
